filename,sample_time,0,1,2,3,4,5,6,7,8
clustered_11,600,3.1598,0.0,0.413,0.1515,0.0,0.31985,0.0,0.0059,0.0
clustered_12,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_12,100,2.73705,5.5872,0.1179,0.2745,0.1695,0.11715,0.0599,0.0197,0.04395
clustered_12,200,1.92295,1.21575,0.1172,0.23105,1.2635,0.154,0.16505,0.02545,0.0906
clustered_12,300,3.94935,0.3824,0.19375,0.37385,0.002,0.25395,0.03555,0.0119,0.0051
clustered_12,400,2.64335,0.0,0.30615,0.09895,0.00035,0.2269,0.018,0.00815,0.0
clustered_12,500,2.6575,0.0,0.45065,0.1426,0.0,0.39345,0.0,0.00735,0.0
clustered_12,600,3.76755,0.0,0.4785,0.0522,0.0,0.3055,0.0,0.00755,0.0
clustered_13,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_13,100,2.7755,5.93895,0.12545,0.2176,0.1748,0.1151,0.05675,0.01915,0.0398
clustered_13,200,1.9325,3.02565,0.0912,0.16365,1.10925,0.1858,0.1965,0.02345,0.1389
clustered_13,300,3.89915,0.264,0.1253,0.3508,0.01415,0.2123,0.0574,0.01455,0.00265
clustered_13,400,2.98015,0.0,0.25475,0.1496,0.0,0.2305,0.00985,0.00795,0.0
clustered_13,500,3.5617,0.0,0.27055,0.2547,0.0,0.25115,0.0,0.0057,0.0
clustered_13,600,2.90965,0.0,0.3998,0.10135,0.0,0.2193,0.0,0.0069,0.0
clustered_14,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_14,100,2.4113,5.84815,0.1223,0.21095,0.15895,0.12205,0.05765,0.02035,0.03185
clustered_14,200,2.1085,3.69775,0.1002,0.21315,1.0467,0.15745,0.18025,0.02535,0.12255
clustered_14,300,4.78735,0.60505,0.11475,0.4216,0.13035,0.2978,0.08575,0.0138,0.0234
clustered_14,400,2.17575,0.80655,0.16405,0.214,0.0,0.1542,0.00315,0.00765,0.0269
clustered_14,500,3.001,0.0,0.28115,0.17375,0.0,0.23475,0.0052,0.0046,0.0
clustered_14,600,2.61815,0.0,0.5156,0.1378,0.0,0.3678,0.0,0.0051,0.0
clustered_15,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_15,100,2.6618,5.48045,0.11015,0.25045,0.2139,0.1244,0.0647,0.01825,0.04355
clustered_15,200,1.97795,2.47945,0.094,0.16855,0.91415,0.1612,0.20735,0.0203,0.12215
clustered_15,300,3.8078,0.28335,0.1335,0.45035,0.0374,0.39255,0.0527,0.01575,0.0099
clustered_15,400,3.1857,0.0,0.16405,0.19865,0.0,0.1445,0.0053,0.00735,0.0
clustered_15,500,2.39875,0.0,0.15575,0.2465,0.0,0.2651,0.0,0.00465,0.0
clustered_15,600,3.47435,0.0,0.2663,0.16395,0.0,0.2666,0.0,0.0037,0.0
clustered_16,0,2.0,0.75,0.275,0.375,0.275,0.2,0.05,0.025,0.05
clustered_16,100,2.3864,5.6492,0.11545,0.2519,0.18675,0.1151,0.0532,0.02095,0.04305
clustered_16,200,2.11675,2.98565,0.08765,0.1821,1.05385,0.17785,0.15075,0.0247,0.132
clustered_16,300,3.7414,0.2568,0.1045,0.4806,0.10725,0.29435,0.0409,0.0146,0.0181
clustered_16,400,2.409,0.0,0.19895,0.1685,0.00165,0.10965,0.00395,0.00785,0.0
clustered_16,500,5.67225,0.0,0.56755,0.1589,0.0,0.3194,0.0,0.0055,0.0
