filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,400,1,8,5,0,0,0,0,0,0,0,0
clustered_11,400,1,9,7,0,0,0,0,0,0,0,0
clustered_11,400,1,10,0,0,0,0,0,0,0,0,0
clustered_11,400,1,11,0,0,0,0,0,0,0,0,0
clustered_11,400,1,12,0,0,0,0,0,0,0,0,0
clustered_11,400,1,13,0,0,0,0,0,0,0,0,0
clustered_11,400,1,14,0,0,1,0,0,0,0,0,0
clustered_11,400,1,15,0,0,0,0,0,0,0,0,0
clustered_11,400,2,0,0,0,0,0,0,0,0,0,0
clustered_11,400,2,1,6,0,0,1,0,2,0,0,0
clustered_11,400,2,2,7,0,0,0,0,0,0,0,0
clustered_11,400,2,3,0,0,0,0,0,0,0,0,0
clustered_11,400,2,4,0,0,0,0,0,0,0,0,0
clustered_11,400,2,5,22,0,0,0,0,2,0,0,0
clustered_11,400,2,6,8,0,0,3,0,0,0,0,0
clustered_11,400,2,7,0,0,0,0,0,0,0,0,0
clustered_11,400,2,8,23,0,0,0,0,0,0,0,0
clustered_11,400,2,9,10,0,0,0,0,0,0,0,0
clustered_11,400,2,10,2,0,2,0,0,0,0,0,0
clustered_11,400,2,11,0,0,2,0,0,1,0,0,0
clustered_11,400,2,12,0,0,0,0,0,1,0,0,0
clustered_11,400,2,13,0,0,0,0,0,0,0,0,0
clustered_11,400,2,14,0,0,1,0,0,0,0,0,0
clustered_11,400,2,15,0,0,0,0,0,0,0,0,0
clustered_11,400,3,0,0,0,0,0,0,0,0,0,0
clustered_11,400,3,1,12,0,0,2,0,2,0,0,0
clustered_11,400,3,2,11,0,0,0,0,0,0,0,0
clustered_11,400,3,3,0,0,0,0,0,0,0,0,0
clustered_11,400,3,4,0,0,0,0,0,0,0,0,0
clustered_11,400,3,5,38,0,0,0,0,2,1,0,0
clustered_11,400,3,6,13,0,0,4,0,1,0,0,0
clustered_11,400,3,7,0,0,0,0,0,0,0,0,0
clustered_11,400,3,8,51,0,0,0,0,0,0,0,0
clustered_11,400,3,9,37,0,0,0,0,2,0,0,0
clustered_11,400,3,10,2,0,4,0,0,0,0,0,0
clustered_11,400,3,11,0,0,6,0,0,1,0,0,0
clustered_11,400,3,12,0,0,0,0,0,2,0,0,0
clustered_11,400,3,13,0,0,1,0,0,0,0,0,0
clustered_11,400,3,14,0,0,1,0,0,0,0,0,0
clustered_11,400,3,15,0,0,0,0,0,0,0,0,0
clustered_11,400,4,0,0,0,0,0,0,0,0,0,0
clustered_11,400,4,1,16,0,0,2,0,3,0,0,0
clustered_11,400,4,2,17,0,0,0,0,1,0,0,0
clustered_11,400,4,3,0,0,0,0,0,0,0,0,0
clustered_11,400,4,4,0,0,0,0,0,0,0,0,0
clustered_11,400,4,5,67,0,1,0,0,3,3,0,0
clustered_11,400,4,6,25,0,0,4,0,3,0,0,0
clustered_11,400,4,7,0,0,0,0,0,0,0,0,0
clustered_11,400,4,8,96,0,0,0,0,1,0,0,0
clustered_11,400,4,9,61,0,0,0,0,3,0,0,0
clustered_11,400,4,10,4,0,6,0,0,0,0,0,0
clustered_11,400,4,11,0,0,8,0,0,1,0,0,0
clustered_11,400,4,12,0,0,0,0,0,5,0,0,0
clustered_11,400,4,13,0,0,1,0,0,0,0,0,0
clustered_11,400,4,14,2,0,1,0,0,0,0,0,0
clustered_11,400,4,15,0,0,0,0,0,0,0,0,0
clustered_11,400,5,0,0,0,0,0,0,0,0,0,0
clustered_11,400,5,1,32,0,0,5,0,8,0,0,0
clustered_11,400,5,2,26,0,0,0,0,1,0,0,0
clustered_11,400,5,3,0,0,0,0,0,0,0,0,0
clustered_11,400,5,4,0,0,0,0,0,0,0,0,0
clustered_11,400,5,5,94,0,3,0,0,3,4,0,0
clustered_11,400,5,6,39,0,0,5,0,5,0,0,0
clustered_11,400,5,7,0,0,0,0,0,0,0,0,0
clustered_11,400,5,8,173,0,0,4,0,1,0,0,0
clustered_11,400,5,9,96,0,0,1,0,4,0,0,0
clustered_11,400,5,10,4,0,6,0,0,0,0,0,0
clustered_11,400,5,11,0,0,13,0,0,1,0,0,0
clustered_11,400,5,12,0,0,0,0,0,9,0,0,0
clustered_11,400,5,13,0,0,1,0,0,0,0,0,0
clustered_11,400,5,14,3,0,2,0,0,0,0,0,0
clustered_11,400,5,15,0,0,0,0,0,0,0,0,0
clustered_11,500,1,0,7,0,0,1,0,0,0,0,0
clustered_11,500,1,1,0,0,0,0,0,0,0,0,0
clustered_11,500,1,2,0,0,0,0,0,0,0,0,0
clustered_11,500,1,3,0,0,0,0,0,0,0,0,0
clustered_11,500,1,4,8,0,0,0,0,0,0,0,0
clustered_11,500,1,5,0,0,0,0,0,0,0,0,0
clustered_11,500,1,6,1,0,0,0,0,1,0,0,0
clustered_11,500,1,7,0,0,1,0,0,0,0,0,0
