filename,r,sample_time,shannon,simpson
clustered_5,3,100,1.04378,0.57075
clustered_5,3,200,1.57236,0.73792
clustered_5,3,300,1.24384,0.62233
clustered_5,3,400,1.08909,0.52711
clustered_5,3,500,0.82481,0.42325
clustered_5,3,600,1.05699,0.56376
clustered_5,4,0,1.50601,0.71644
clustered_5,4,100,1.04136,0.57493
clustered_5,4,200,1.59772,0.74682
clustered_5,4,300,1.26503,0.6288
clustered_5,4,400,0.99195,0.48153
clustered_5,4,500,0.83663,0.41825
clustered_5,4,600,1.04117,0.55495
clustered_5,5,0,1.47393,0.70925
clustered_5,5,100,1.01587,0.56839
clustered_5,5,200,1.58861,0.74587
clustered_5,5,300,1.22636,0.61199
clustered_5,5,400,1.00563,0.48694
clustered_5,5,500,0.78557,0.38265
clustered_5,5,600,1.02896,0.54637
clustered_6,1,0,1.06086,0.64198
clustered_6,1,100,1.09497,0.60571
clustered_6,1,200,1.08066,0.52018
clustered_6,1,300,0.34192,0.16731
clustered_6,1,400,0.55602,0.2536
clustered_6,1,500,0.8678,0.45551
clustered_6,1,600,0.93943,0.5216
clustered_6,2,0,1.12209,0.63138
clustered_6,2,100,0.99562,0.56036
clustered_6,2,200,1.23478,0.59539
clustered_6,2,300,0.50913,0.25071
clustered_6,2,400,0.69232,0.34772
clustered_6,2,500,0.78449,0.40726
clustered_6,2,600,0.90459,0.48149
clustered_6,3,0,1.22432,0.66535
clustered_6,3,100,0.9581,0.54488
clustered_6,3,200,1.29725,0.61263
clustered_6,3,300,0.60969,0.2886
clustered_6,3,400,0.65543,0.32814
clustered_6,3,500,0.86805,0.43273
clustered_6,3,600,0.83335,0.45057
clustered_6,4,0,1.50601,0.71644
clustered_6,4,100,0.98738,0.54778
clustered_6,4,200,1.31534,0.63975
clustered_6,4,300,0.64837,0.29604
clustered_6,4,400,0.57901,0.28397
clustered_6,4,500,0.8079,0.3952
clustered_6,4,600,0.83789,0.44759
clustered_6,5,0,1.47393,0.70925
clustered_6,5,100,0.98915,0.5503
clustered_6,5,200,1.3126,0.63929
clustered_6,5,300,0.63847,0.29509
clustered_6,5,400,0.56145,0.27348
clustered_6,5,500,0.85258,0.42276
clustered_6,5,600,0.81406,0.43603
clustered_7,1,0,1.06086,0.64198
clustered_7,1,100,0.86415,0.51954
clustered_7,1,200,1.24685,0.66255
clustered_7,1,300,0.61113,0.25
clustered_7,1,400,0.54587,0.25633
clustered_7,1,500,0.68721,0.37318
clustered_7,1,600,1.09973,0.61556
clustered_7,2,0,1.12209,0.63138
clustered_7,2,100,0.99851,0.55786
clustered_7,2,200,1.42428,0.69371
clustered_7,2,300,0.44895,0.17608
clustered_7,2,400,0.60683,0.30868
clustered_7,2,500,0.66912,0.33387
clustered_7,2,600,0.96935,0.51844
clustered_7,3,0,1.22432,0.66535
clustered_7,3,100,1.06264,0.57468
clustered_7,3,200,1.48458,0.70412
clustered_7,3,300,0.58434,0.23584
clustered_7,3,400,0.62117,0.30135
clustered_7,3,500,0.56434,0.26784
clustered_7,3,600,0.97685,0.50819
clustered_7,4,0,1.50601,0.71644
clustered_7,4,100,1.01119,0.55706
clustered_7,4,200,1.46858,0.70106
clustered_7,4,300,0.54395,0.22117
clustered_7,4,400,0.70808,0.34665
clustered_7,4,500,0.55984,0.25744
clustered_7,4,600,0.93551,0.49277
clustered_7,5,0,1.47393,0.70925
clustered_7,5,100,0.9902,0.54611
clustered_7,5,200,1.44936,0.69795
clustered_7,5,300,0.59933,0.25116
clustered_7,5,400,0.81082,0.40699
clustered_7,5,500,0.57113,0.26575
clustered_7,5,600,0.92228,0.48289
clustered_8,1,0,1.06086,0.64198
clustered_8,1,100,0.95809,0.5534
clustered_8,1,200,1.74132,0.79432
clustered_8,1,300,0.86684,0.4672
clustered_8,1,400,0.29367,0.15755
clustered_8,1,500,0.77361,0.38757
clustered_8,1,600,0.39246,0.17432
clustered_8,2,0,1.12209,0.63138
clustered_8,2,100,1.00284,0.56351
clustered_8,2,200,1.63435,0.76891
clustered_8,2,300,0.8037,0.40289
clustered_8,2,400,0.27762,0.13182
clustered_8,2,500,1.06306,0.56244
clustered_8,2,600,0.53135,0.23509
clustered_8,3,0,1.22432,0.66535
clustered_8,3,100,1.1878,0.60444
clustered_8,3,200,1.67667,0.77576
clustered_8,3,300,0.83735,0.40367
clustered_8,3,400,0.41765,0.19683
clustered_8,3,500,1.00299,0.52321
clustered_8,3,600,0.64061,0.29833
clustered_8,4,0,1.50601,0.71644
clustered_8,4,100,1.15192,0.59082
clustered_8,4,200,1.68058,0.77597
clustered_8,4,300,0.8583,0.42902
clustered_8,4,400,0.463,0.21443
clustered_8,4,500,0.99282,0.5183
clustered_8,4,600,0.57797,0.26534
clustered_8,5,0,1.47393,0.70925
clustered_8,5,100,1.13341,0.5858
clustered_8,5,200,1.69838,0.77786
clustered_8,5,300,0.79131,0.38812
clustered_8,5,400,0.47544,0.21306
clustered_8,5,500,0.99675,0.52372
clustered_8,5,600,0.57948,0.26842
clustered_9,1,0,1.06086,0.64198
clustered_9,1,100,1.2259,0.64973
clustered_9,1,200,1.3485,0.67925
clustered_9,1,300,0.66825,0.3975
clustered_9,1,400,0.50914,0.2551
