filename,r,sample_time,sample_id,shannon,simpson
clustered_10,1,200,5,-0.0,0.0
clustered_10,1,200,6,0.0,0.0
clustered_10,1,200,7,-0.0,0.0
clustered_10,1,200,8,-0.0,0.0
clustered_10,1,200,9,-0.0,0.0
clustered_10,1,200,10,-0.0,0.0
clustered_10,1,200,11,0.52971,0.34568
clustered_10,1,300,0,-0.0,0.0
clustered_10,1,300,1,-0.0,0.0
clustered_10,1,300,2,0.95027,0.56
clustered_10,1,300,3,-0.0,0.0
clustered_10,1,300,4,-0.0,0.0
clustered_10,1,300,5,0.0,0.0
clustered_10,1,300,6,0.0,0.0
clustered_10,1,300,7,0.0,0.0
clustered_10,1,300,8,0.0,0.0
clustered_10,1,300,9,-0.0,0.0
clustered_10,1,300,10,0.69315,0.5
clustered_10,1,300,11,0.0,0.0
clustered_10,1,400,0,0.0,0.0
clustered_10,1,400,1,0.0,0.0
clustered_10,1,400,2,-0.0,0.0
clustered_10,1,400,3,-0.0,0.0
clustered_10,1,400,4,0.0,0.0
clustered_10,1,400,5,0.63651,0.44444
clustered_10,1,400,6,0.0,0.0
clustered_10,1,400,7,-0.0,0.0
clustered_10,1,400,8,0.66156,0.46875
clustered_10,1,400,9,-0.0,0.0
clustered_10,1,400,10,0.0,0.0
clustered_10,1,400,11,0.52971,0.34568
clustered_10,1,500,0,-0.0,0.0
clustered_10,1,500,1,-0.0,0.0
clustered_10,1,500,2,0.0,0.0
clustered_10,1,500,3,-0.0,0.0
clustered_10,1,500,4,0.0,0.0
clustered_10,1,500,5,-0.0,0.0
clustered_10,1,500,6,-0.0,0.0
clustered_10,1,500,7,-0.0,0.0
clustered_10,1,500,8,-0.0,0.0
clustered_10,1,500,9,0.0,0.0
clustered_10,1,500,10,0.0,0.0
clustered_10,1,500,11,0.0,0.0
clustered_10,1,600,0,0.0,0.0
clustered_10,1,600,1,0.34883,0.19753
clustered_10,1,600,2,0.0,0.0
clustered_10,1,600,3,-0.0,0.0
clustered_10,1,600,4,0.0,0.0
clustered_10,1,600,5,0.0,0.0
clustered_10,1,600,6,-0.0,0.0
clustered_10,1,600,7,-0.0,0.0
clustered_10,1,600,8,0.0,0.0
clustered_10,1,600,9,-0.0,0.0
clustered_10,1,600,10,0.0,0.0
clustered_10,1,600,11,0.0,0.0
clustered_10,2,0,0,-0.0,0.0
clustered_10,2,0,1,0.0,0.0
clustered_10,2,0,2,0.0,0.0
clustered_10,2,0,3,0.0,0.0
clustered_10,2,0,4,0.0,0.0
clustered_10,2,0,5,0.0,0.0
clustered_10,2,0,6,-0.0,0.0
clustered_10,2,0,7,0.0,0.0
clustered_10,2,0,8,0.0,0.0
clustered_10,2,0,9,-0.0,0.0
clustered_10,2,0,10,0.67301,0.48
clustered_10,2,0,11,-0.0,0.0
clustered_10,2,100,0,-0.0,0.0
clustered_10,2,100,1,-0.0,0.0
clustered_10,2,100,2,-0.0,0.0
clustered_10,2,100,3,0.0,0.0
clustered_10,2,100,4,-0.0,0.0
clustered_10,2,100,5,0.93689,0.5679
clustered_10,2,100,6,0.69315,0.5
clustered_10,2,100,7,0.63651,0.44444
clustered_10,2,100,8,-0.0,0.0
clustered_10,2,100,9,0.43616,0.26593
clustered_10,2,100,10,-0.0,0.0
clustered_10,2,100,11,0.34883,0.19753
clustered_10,2,200,0,0.77955,0.49108
clustered_10,2,200,1,-0.0,0.0
clustered_10,2,200,2,1.09861,0.66667
clustered_10,2,200,3,1.09861,0.66667
clustered_10,2,200,4,0.91607,0.47059
clustered_10,2,200,5,-0.0,0.0
clustered_10,2,200,6,0.0,0.0
clustered_10,2,200,7,-0.0,0.0
clustered_10,2,200,8,-0.0,0.0
clustered_10,2,200,9,0.41012,0.2449
clustered_10,2,200,10,-0.0,0.0
clustered_10,2,200,11,0.50914,0.2551
clustered_10,2,300,0,0.27877,0.1472
clustered_10,2,300,1,0.5004,0.32
clustered_10,2,300,2,1.03972,0.625
clustered_10,2,300,3,0.34883,0.19753
clustered_10,2,300,4,0.45056,0.27778
clustered_10,2,300,5,0.0,0.0
clustered_10,2,300,6,1.09861,0.66667
clustered_10,2,300,7,-0.0,0.0
clustered_10,2,300,8,-0.0,0.0
clustered_10,2,300,9,-0.0,0.0
clustered_10,2,300,10,0.61724,0.42604
clustered_10,2,300,11,0.0,0.0
clustered_10,2,400,0,0.0,0.0
clustered_10,2,400,1,0.69315,0.5
clustered_10,2,400,2,-0.0,0.0
clustered_10,2,400,3,0.69315,0.5
clustered_10,2,400,4,0.0,0.0
clustered_10,2,400,5,0.67301,0.48
clustered_10,2,400,6,0.0,0.0
clustered_10,2,400,7,-0.0,0.0
clustered_10,2,400,8,0.99327,0.59834
clustered_10,2,400,9,-0.0,0.0
clustered_10,2,400,10,0.0,0.0
clustered_10,2,400,11,0.47414,0.29752
clustered_10,2,500,0,-0.0,0.0
clustered_10,2,500,1,-0.0,0.0
clustered_10,2,500,2,0.0,0.0
clustered_10,2,500,3,-0.0,0.0
clustered_10,2,500,4,0.0,0.0
clustered_10,2,500,5,-0.0,0.0
clustered_10,2,500,6,0.56234,0.375
clustered_10,2,500,7,0.59827,0.40816
clustered_10,2,500,8,-0.0,0.0
clustered_10,2,500,9,0.0,0.0
clustered_10,2,500,10,0.0,0.0
clustered_10,2,500,11,0.0,0.0
clustered_10,2,600,0,0.0,0.0
clustered_10,2,600,1,0.36221,0.20761
clustered_10,2,600,2,0.0,0.0
clustered_10,2,600,3,-0.0,0.0
clustered_10,2,600,4,0.0,0.0
clustered_10,2,600,5,0.0,0.0
clustered_10,2,600,6,-0.0,0.0
clustered_10,2,600,7,-0.0,0.0
clustered_10,2,600,8,0.0,0.0
clustered_10,2,600,9,-0.0,0.0
clustered_10,2,600,10,0.0,0.0
clustered_10,2,600,11,-0.0,0.0
clustered_10,3,0,0,-0.0,0.0
clustered_10,3,0,1,0.0,0.0
clustered_10,3,0,2,0.0,0.0
clustered_10,3,0,3,0.0,0.0
clustered_10,3,0,4,0.0,0.0
clustered_10,3,0,5,0.0,0.0
clustered_10,3,0,6,-0.0,0.0
clustered_10,3,0,7,-0.0,0.0
clustered_10,3,0,8,0.0,0.0
clustered_10,3,0,9,-0.0,0.0
clustered_10,3,0,10,0.65548,0.46281
clustered_10,3,0,11,-0.0,0.0
clustered_10,3,100,0,0.68291,0.4898
clustered_10,3,100,1,0.14999,0.06659
clustered_10,3,100,2,-0.0,0.0
clustered_10,3,100,3,-0.0,0.0
clustered_10,3,100,4,1.03972,0.625
clustered_10,3,100,5,0.83052,0.50781
clustered_10,3,100,6,1.03972,0.625
clustered_10,3,100,7,0.67048,0.4775
clustered_10,3,100,8,0.45056,0.27778
clustered_10,3,100,9,0.36692,0.2112
clustered_10,3,100,10,-0.0,0.0
clustered_10,3,100,11,0.6723,0.33136
clustered_10,3,200,0,0.85664,0.54145
clustered_10,3,200,1,0.24493,0.12444
clustered_10,3,200,2,1.33218,0.72
clustered_10,3,200,3,0.86756,0.5
clustered_10,3,200,4,0.86055,0.448
clustered_10,3,200,5,-0.0,0.0
clustered_10,3,200,6,-0.0,0.0
clustered_10,3,200,7,0.62771,0.33778
clustered_10,3,200,8,-0.0,0.0
clustered_10,3,200,9,0.26405,0.13717
clustered_10,3,200,10,0.11467,0.04759
clustered_10,3,200,11,0.74928,0.36125
clustered_10,3,300,0,0.20227,0.0973
clustered_10,3,300,1,0.5004,0.32
clustered_10,3,300,2,1.07756,0.65278
clustered_10,3,300,3,0.63304,0.34903
clustered_10,3,300,4,0.23379,0.11719
clustered_10,3,300,5,-0.0,0.0
clustered_10,3,300,6,1.05492,0.64
clustered_10,3,300,7,-0.0,0.0
clustered_10,3,300,8,-0.0,0.0
clustered_10,3,300,9,0.24493,0.12444
clustered_10,3,300,10,0.66628,0.47337
clustered_10,3,300,11,-0.0,0.0
clustered_10,3,400,0,0.0,0.0
clustered_10,3,400,1,0.69315,0.5
clustered_10,3,400,2,-0.0,0.0
clustered_10,3,400,3,0.37677,0.21875
clustered_10,3,400,4,0.0,0.0
clustered_10,3,400,5,0.51958,0.33673
clustered_10,3,400,6,0.0,0.0
clustered_10,3,400,7,0.45056,0.27778
clustered_10,3,400,8,0.96986,0.58162
clustered_10,3,400,9,0.13269,0.05709
clustered_10,3,400,10,0.0,0.0
clustered_10,3,400,11,0.36692,0.2112
clustered_10,3,500,0,-0.0,0.0
clustered_10,3,500,1,0.60192,0.32031
clustered_10,3,500,2,0.0,0.0
clustered_10,3,500,3,-0.0,0.0
clustered_10,3,500,4,0.0,0.0
clustered_10,3,500,5,-0.0,0.0
clustered_10,3,500,6,0.5004,0.32
clustered_10,3,500,7,0.37677,0.21875
clustered_10,3,500,8,-0.0,0.0
clustered_10,3,500,9,-0.0,0.0
clustered_10,3,500,10,0.0,0.0
clustered_10,3,500,11,0.0,0.0
