filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,2,400,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,1,3.84,0.0,0.0,0.64,0.0,0.64,0.0,0.0,0.0
clustered_11,3,400,2,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,5,12.16,0.0,0.0,0.0,0.0,0.64,0.32,0.0,0.0
clustered_11,3,400,6,4.16,0.0,0.0,1.28,0.0,0.32,0.0,0.0,0.0
clustered_11,3,400,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,8,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,9,11.84,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0
clustered_11,3,400,10,0.64,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,11,0.0,0.0,1.92,0.0,0.0,0.32,0.0,0.0,0.0
clustered_11,3,400,12,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0
clustered_11,3,400,13,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,14,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,400,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,1,3.12195,0.0,0.0,0.39024,0.0,0.58537,0.0,0.0,0.0
clustered_11,4,400,2,3.31707,0.0,0.0,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,400,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,5,13.07317,0.0,0.19512,0.0,0.0,0.58537,0.58537,0.0,0.0
clustered_11,4,400,6,4.87805,0.0,0.0,0.78049,0.0,0.58537,0.0,0.0,0.0
clustered_11,4,400,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,8,18.73171,0.0,0.0,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,400,9,11.90244,0.0,0.0,0.0,0.0,0.58537,0.0,0.0,0.0
clustered_11,4,400,10,0.78049,0.0,1.17073,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,11,0.0,0.0,1.56098,0.0,0.0,0.19512,0.0,0.0,0.0
clustered_11,4,400,12,0.0,0.0,0.0,0.0,0.0,0.97561,0.0,0.0,0.0
clustered_11,4,400,13,0.0,0.0,0.19512,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,14,0.39024,0.0,0.19512,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,4,400,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,1,4.19672,0.0,0.0,0.65574,0.0,1.04918,0.0,0.0,0.0
clustered_11,5,400,2,3.40984,0.0,0.0,0.0,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,400,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,5,12.32787,0.0,0.39344,0.0,0.0,0.39344,0.52459,0.0,0.0
clustered_11,5,400,6,5.11475,0.0,0.0,0.65574,0.0,0.65574,0.0,0.0,0.0
clustered_11,5,400,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,8,22.68852,0.0,0.0,0.52459,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,400,9,12.59016,0.0,0.0,0.13115,0.0,0.52459,0.0,0.0,0.0
clustered_11,5,400,10,0.52459,0.0,0.78689,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,11,0.0,0.0,1.70492,0.0,0.0,0.13115,0.0,0.0,0.0
clustered_11,5,400,12,0.0,0.0,0.0,0.0,0.0,1.18033,0.0,0.0,0.0
clustered_11,5,400,13,0.0,0.0,0.13115,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,14,0.39344,0.0,0.2623,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,5,400,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,0,11.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,6,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
clustered_11,1,500,7,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,10,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,11,8.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
clustered_11,1,500,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,13,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,1,500,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,0,12.92308,0.0,0.0,1.84615,0.0,1.23077,0.0,0.0,0.0
clustered_11,2,500,1,0.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,6,1.84615,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
clustered_11,2,500,7,0.0,0.0,1.84615,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,10,0.0,0.0,0.0,2.46154,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,11,11.69231,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
clustered_11,2,500,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,13,0.0,0.0,1.23077,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,2,500,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,500,0,13.76,0.0,0.0,1.92,0.0,2.24,0.0,0.0,0.0
clustered_11,3,500,1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,500,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered_11,3,500,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
