filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,400,1,11,0,0,0,0,0,0,0,0,0
random_1,400,2,0,0,0,0,0,0,0,0,0,0
random_1,400,2,1,1,0,2,2,0,0,0,0,0
random_1,400,2,2,0,0,0,0,0,0,0,0,0
random_1,400,2,3,0,0,0,0,0,0,0,0,0
random_1,400,2,4,0,0,1,0,0,0,0,0,0
random_1,400,2,5,1,0,0,0,0,0,0,0,0
random_1,400,2,6,4,0,0,0,0,0,0,0,0
random_1,400,2,7,0,0,0,0,0,0,0,0,0
random_1,400,2,8,0,0,4,0,0,0,0,0,0
random_1,400,2,9,0,0,0,0,0,0,0,0,0
random_1,400,2,10,0,0,0,0,0,0,0,0,0
random_1,400,2,11,0,0,0,0,0,0,0,0,0
random_1,400,3,0,0,0,0,0,0,0,0,0,0
random_1,400,3,1,1,0,7,3,0,0,0,0,0
random_1,400,3,2,0,0,3,0,0,0,0,0,0
random_1,400,3,3,0,0,0,0,0,0,0,0,0
random_1,400,3,4,0,0,1,1,0,0,0,0,0
random_1,400,3,5,1,0,0,0,0,2,0,0,0
random_1,400,3,6,8,0,0,1,0,0,0,0,0
random_1,400,3,7,0,0,0,0,0,0,0,0,0
random_1,400,3,8,0,0,4,0,0,0,0,0,0
random_1,400,3,9,0,0,2,0,0,0,0,0,0
random_1,400,3,10,0,0,1,0,0,0,0,0,0
random_1,400,3,11,0,0,0,0,0,0,0,0,0
random_1,400,4,0,0,0,0,0,0,0,0,0,0
random_1,400,4,1,1,0,9,3,0,0,0,0,0
random_1,400,4,2,0,0,4,0,0,0,0,0,0
random_1,400,4,3,0,0,1,0,0,0,0,0,0
random_1,400,4,4,0,0,2,4,0,0,0,1,0
random_1,400,4,5,1,0,1,0,0,2,0,0,0
random_1,400,4,6,15,0,0,9,0,0,0,0,0
random_1,400,4,7,0,0,1,0,0,0,0,0,0
random_1,400,4,8,0,0,5,0,0,0,0,0,0
random_1,400,4,9,0,0,3,0,0,0,0,0,0
random_1,400,4,10,0,0,1,0,0,0,0,0,0
random_1,400,4,11,0,0,0,0,0,0,0,0,0
random_1,400,5,0,0,0,0,0,0,0,1,0,0
random_1,400,5,1,1,0,11,3,0,0,0,0,0
random_1,400,5,2,0,0,5,0,0,0,0,0,0
random_1,400,5,3,0,0,1,0,0,0,0,0,0
random_1,400,5,4,0,0,4,7,0,1,0,1,0
random_1,400,5,5,2,0,1,0,0,2,0,0,0
random_1,400,5,6,20,0,0,13,0,0,0,0,0
random_1,400,5,7,0,0,1,1,0,0,0,0,0
random_1,400,5,8,0,0,10,0,0,1,0,0,0
random_1,400,5,9,0,0,6,0,0,0,0,0,0
random_1,400,5,10,0,0,2,0,0,0,1,0,0
random_1,400,5,11,0,0,0,0,0,0,0,0,0
random_1,500,1,0,0,0,2,0,0,0,0,0,0
random_1,500,1,1,2,0,0,5,0,0,0,0,0
random_1,500,1,2,0,0,6,0,0,0,0,0,0
random_1,500,1,3,0,0,1,0,0,0,0,0,0
random_1,500,1,4,13,0,1,0,0,0,0,0,0
random_1,500,1,5,2,0,0,2,0,0,0,0,0
random_1,500,1,6,11,0,0,0,0,1,0,0,0
random_1,500,1,7,0,0,0,0,0,0,0,0,0
random_1,500,1,8,0,0,4,0,0,1,0,0,0
random_1,500,1,9,0,0,1,0,0,0,0,0,0
random_1,500,1,10,12,0,1,1,0,0,0,0,0
random_1,500,1,11,4,0,1,1,0,0,0,0,0
random_1,500,2,0,1,0,2,0,0,0,0,0,0
random_1,500,2,1,2,0,1,7,0,0,0,0,0
random_1,500,2,2,0,0,9,0,0,0,0,0,0
random_1,500,2,3,0,0,2,0,0,0,0,0,0
random_1,500,2,4,36,0,1,0,0,0,0,0,0
random_1,500,2,5,6,0,0,5,0,1,0,0,0
random_1,500,2,6,24,0,0,0,0,1,0,0,0
random_1,500,2,7,0,0,1,0,0,0,0,0,0
random_1,500,2,8,0,0,9,0,0,1,0,0,0
random_1,500,2,9,0,0,3,0,0,0,0,0,0
random_1,500,2,10,20,0,6,1,0,0,0,0,0
random_1,500,2,11,10,0,2,1,0,0,0,0,0
random_1,500,3,0,3,0,2,0,0,1,0,0,0
random_1,500,3,1,2,0,3,7,0,0,0,0,0
random_1,500,3,2,0,0,12,0,0,0,0,0,0
random_1,500,3,3,0,0,3,0,0,0,0,0,0
random_1,500,3,4,66,0,1,0,0,0,0,0,0
