filename,r,mae,mdae,mser,mdser
clustered_3,5,0.014874570045788939,0.014668920822766971,-0.0016240172347875416,-0.005087354455270539
clustered_4,1,0.023857002912941298,0.014853703540989372,-0.008904388214447915,-0.01022868506089983
clustered_4,2,0.02216260853079251,0.020494529065600744,-0.010625783864854663,-0.015582662192393746
clustered_4,3,0.018278277386265696,0.019314316284609712,-0.007380020035933018,-0.018182948048719862
clustered_4,4,0.015010074751560394,0.015710931474484772,-0.001648103691465436,-0.0044326270059058025
clustered_4,5,0.01366368638319388,0.016259451901566007,-0.00023742781933271042,-0.0009072578687438879
clustered_5,1,0.044104308014229474,0.03953982923475424,0.011153459560807329,-0.008431251315397627
clustered_5,2,0.036418189389944136,0.02215663074413994,0.012773952629215005,-0.010097223714097811
clustered_5,3,0.021470499830232265,0.012823282844833493,0.004307151138462974,-0.009493670886075943
clustered_5,4,0.021035605762056566,0.017076897658107083,0.0057662274752195665,-0.0013296378096151332
clustered_5,5,0.017158390860192475,0.013111964195195544,0.00440202329845192,-0.004583006402991305
clustered_6,1,0.02527827024445836,0.018107681829587424,-0.009220512082318274,-0.0056894250702902785
clustered_6,2,0.019283437588971608,0.015099016507199385,-0.00003305400162685659,-0.0010275093268141155
clustered_6,3,0.01491195349704258,0.008707310189105278,0.000519118101661514,0.005005920776194665
clustered_6,4,0.018092884913469488,0.012111393355997806,0.002774598319317642,0.01057973468811741
clustered_6,5,0.017508022940492477,0.01477801298334745,0.0022917656665650296,0.006413682474818081
clustered_7,1,0.02344987840642587,0.016406315612664816,-0.0032732076717673845,-0.012446603764727969
clustered_7,2,0.02058850007156661,0.011238137230200717,-0.0016699994969299641,0.0005525043421114365
clustered_7,3,0.01530663906208409,0.009687578735197778,0.004948918623431008,0.004394016658167602
clustered_7,4,0.014423299493016664,0.00801212015320127,0.006166833458310438,-0.00014731646507867377
clustered_7,5,0.012663365426842517,0.008487634258829374,0.005031958023309012,0.002565108171844566
clustered_8,1,0.02605181054523087,0.024647326198366556,-0.010510816560447054,-0.012250093132993918
clustered_8,2,0.029152336029834452,0.02659753083066224,-0.010456254605232156,-0.016848589652423134
