filename,sample_time,r,sample_id,mser
random_1,600,3,0,0.0056199821055359
random_1,600,3,1,0.0122347146014159
random_1,600,3,2,0.0096083502234157
random_1,600,3,3,-0.0277777777777777
random_1,600,3,4,-0.0114523968689789
random_1,600,3,5,0.0019904785356644
random_1,600,3,6,-0.0247690996217214
random_1,600,3,7,-0.0257719923404068
random_1,600,3,8,-0.0096143065007847
random_1,600,3,9,0.0352388630102151
random_1,600,3,10,-0.0157430651535522
random_1,600,3,11,-0.0232727372575108
random_1,600,4,0,0.0053994458153944
random_1,600,4,1,0.0086757151253027
random_1,600,4,2,0.0017453611897426
random_1,600,4,3,-0.0277777777777777
random_1,600,4,4,-0.0172117572732141
random_1,600,4,5,0.0042540618708329
random_1,600,4,6,-0.0253316979761059
random_1,600,4,7,-0.0259432179265238
random_1,600,4,8,-0.0089177706706506
random_1,600,4,9,0.0155391627938543
random_1,600,4,10,-0.0143243388685826
random_1,600,4,11,-0.0250308018507857
random_1,600,5,0,0.0192289941968866
random_1,600,5,1,0.015350538181005
random_1,600,5,2,0.0095573193169705
random_1,600,5,3,-0.0277777777777777
random_1,600,5,4,-0.0202650046850852
random_1,600,5,5,0.0030813114574685
random_1,600,5,6,-0.0253116481416659
random_1,600,5,7,-0.0261336913537032
random_1,600,5,8,0.1574745930307181
random_1,600,5,9,0.0046250600447469
random_1,600,5,10,-0.012980999961107
random_1,600,5,11,-0.015694745095646
random_2,0,1,0,-0.05
random_2,0,1,1,-0.0381481481481481
random_2,0,1,2,-0.05
random_2,0,1,3,-0.0381481481481481
random_2,0,1,4,-0.05
random_2,0,1,5,-0.0366666666666666
random_2,0,1,6,0.0255555555555555
random_2,0,1,7,-0.0058249158249158
random_2,0,1,8,-0.0132323232323232
random_2,0,1,9,-0.0176767676767676
random_2,0,1,10,-0.0132323232323232
random_2,0,1,11,-0.0176767676767676
random_2,0,2,0,-0.0294871794871794
random_2,0,2,1,-0.042022792022792
random_2,0,2,2,-0.0294871794871794
random_2,0,2,3,-0.042022792022792
random_2,0,2,4,-0.05
random_2,0,2,5,-0.0103211603211603
random_2,0,2,6,0.0068764568764568
random_2,0,2,7,-0.033009583009583
random_2,0,2,8,-0.0313001813001813
