filename,r,type_id,ae,ser
random_6,2,1,0.0007096517847134326,0.0007096517847134326
random_6,2,2,0.0013363659561103876,0.0013363659561103876
random_6,2,3,0.0025034924824796907,-0.0025034924824796907
random_6,2,4,0.0380360059102574,-0.0380360059102574
random_6,2,5,0.020183377752166918,0.020183377752166918
random_6,2,6,0.027857476971790446,-0.027857476971790446
random_6,2,7,0.05000000000000002,-0.05000000000000002
random_6,2,8,0.05,-0.05
random_6,3,0,0.003990633807596541,-0.003990633807596541
random_6,3,1,0.006474557091079899,0.006474557091079899
random_6,3,2,0.00001243146337950915,-0.00001243146337950915
random_6,3,3,0.0024559291161125006,-0.0024559291161125006
random_6,3,4,0.03548357829794955,-0.03548357829794955
random_6,3,5,0.011466061610122676,0.011466061610122676
random_6,3,6,0.0212147380541163,-0.0212147380541163
random_6,3,7,0.03262757871878394,-0.03262757871878394
random_6,3,8,0.01796796796796797,-0.01796796796796797
random_6,4,0,0.004229938475570619,-0.004229938475570619
random_6,4,1,0.00897684903464805,0.00897684903464805
random_6,4,2,0.0013274022167261946,-0.0013274022167261946
random_6,4,3,0.0027095296532987584,0.0027095296532987584
random_6,4,4,0.033561642947870486,-0.033561642947870486
random_6,4,5,0.0003625537227784559,0.0003625537227784559
random_6,4,6,0.02542728123200922,-0.02542728123200922
random_6,4,7,0.002964169381107477,0.002964169381107477
random_6,4,8,0.03046846846846847,-0.03046846846846847
random_6,5,0,0.0033082121479491708,-0.0033082121479491708
random_6,5,1,0.009416508532568943,0.009416508532568943
random_6,5,2,0.004092552244860566,-0.004092552244860566
random_6,5,3,0.004660148652403441,0.004660148652403441
random_6,5,4,0.03130174715504057,-0.03130174715504057
random_6,5,5,0.0035537467886383855,-0.0035537467886383855
random_6,5,6,0.02876475244674727,-0.02876475244674727
random_6,5,7,0.03543973941368075,0.03543973941368075
random_6,5,8,0.010615615615615625,-0.010615615615615625
random_7,1,0,0.00688057941721406,-0.00688057941721406
random_7,1,1,0.046134070437236635,-0.046134070437236635
random_7,1,2,0.0031520521438028384,-0.0031520521438028384
random_7,1,3,0.015672602445827074,-0.015672602445827074
random_7,1,4,0.024685146509714578,-0.024685146509714578
random_7,1,5,0.005877283695277496,-0.005877283695277496
random_7,1,6,0.05,-0.05
random_7,1,7,0.0073970440522313245,0.0073970440522313245
random_7,1,8,0.05,-0.05
random_7,2,0,0.0007896845448639447,0.0007896845448639447
random_7,2,1,0.044548080888132884,-0.044548080888132884
random_7,2,2,0.007695857521132495,-0.007695857521132495
random_7,2,3,0.02359440034327397,-0.02359440034327397
random_7,2,4,0.0370181212159568,-0.0370181212159568
random_7,2,5,0.01393829713891762,-0.01393829713891762
random_7,2,6,0.05,-0.05
random_7,2,7,0.005848758788922353,-0.005848758788922353
random_7,2,8,0.05,-0.05
random_7,3,0,0.004438268485767244,0.004438268485767244
random_7,3,1,0.042783598149508384,-0.042783598149508384
random_7,3,2,0.006003666361136563,-0.006003666361136563
random_7,3,3,0.019105342201244355,-0.019105342201244355
random_7,3,4,0.038186401704533475,-0.038186401704533475
random_7,3,5,0.01949327817993794,0.01949327817993794
random_7,3,6,0.03861372046683746,-0.03861372046683746
random_7,3,7,0.0155617735686612,-0.0155617735686612
random_7,3,8,0.027324263038548752,-0.027324263038548752
random_7,4,0,0.005918152506075703,0.005918152506075703
random_7,4,1,0.04119949324106648,-0.04119949324106648
random_7,4,2,0.006281883338425494,-0.006281883338425494
random_7,4,3,0.01337025316455695,-0.01337025316455695
random_7,4,4,0.03662231293378057,-0.03662231293378057
random_7,4,5,0.007843640124095127,0.007843640124095127
random_7,4,6,0.022228864218616563,-0.022228864218616563
random_7,4,7,0.026995264743865703,0.026995264743865703
random_7,4,8,0.036173469387755106,-0.036173469387755106
random_7,5,0,0.005729586852426677,0.005729586852426677
random_7,5,1,0.04038798630172292,-0.04038798630172292
random_7,5,2,0.008093905947652507,-0.008093905947652507
random_7,5,3,0.012718032611027675,-0.012718032611027675
random_7,5,4,0.0340915659346455,-0.0340915659346455
random_7,5,5,0.006057807652533599,0.006057807652533599
random_7,5,6,0.0220007828067179,-0.0220007828067179
random_7,5,7,0.015866695365188713,0.015866695365188713
random_7,5,8,0.022119472789115652,-0.022119472789115652
random_8,1,0,0.005998880022399538,0.005998880022399538
random_8,1,1,0.04699395032502912,-0.04699395032502912
random_8,1,2,0.0020084855950181406,0.0020084855950181406
random_8,1,3,0.02604395933462095,-0.02604395933462095
random_8,1,4,0.018586058492759083,-0.018586058492759083
random_8,1,5,0.009885961519175942,-0.009885961519175942
random_8,1,6,0.05,-0.05
random_8,1,7,0.05,-0.05
random_8,1,8,0.049999999999999996,-0.049999999999999996
random_8,2,0,0.0050048029808634495,0.0050048029808634495
random_8,2,1,0.044219159809115845,-0.044219159809115845
random_8,2,2,0.008956939026893854,0.008956939026893854
random_8,2,3,0.013144642081779906,-0.013144642081779906
random_8,2,4,0.03066841014042031,-0.03066841014042031
random_8,2,5,0.012531016747611081,-0.012531016747611081
random_8,2,6,0.03250369612191516,-0.03250369612191516
random_8,2,7,0.05,-0.05
random_8,2,8,0.049999999999999996,-0.049999999999999996
random_8,3,0,0.006688097007290628,0.006688097007290628
random_8,3,1,0.04318628740339934,-0.04318628740339934
random_8,3,2,0.006388147539861779,0.006388147539861779
random_8,3,3,0.005082423752414301,-0.005082423752414301
random_8,3,4,0.026125404454496893,-0.026125404454496893
random_8,3,5,0.00042907694732166986,0.00042907694732166986
random_8,3,6,0.022705561241896967,-0.022705561241896967
random_8,3,7,0.039007969222313824,-0.039007969222313824
random_8,3,8,0.02696184305255579,-0.02696184305255579
random_8,4,0,0.006524192593071229,0.006524192593071229
random_8,4,1,0.04279035934818823,-0.04279035934818823
random_8,4,2,0.00107380414699241,0.00107380414699241
random_8,4,3,0.0007604545658716424,0.0007604545658716424
random_8,4,4,0.02241710646184776,-0.02241710646184776
random_8,4,5,0.003811335081159284,0.003811335081159284
random_8,4,6,0.022262026612077792,-0.022262026612077792
random_8,4,7,0.01648804616652927,-0.01648804616652927
random_8,4,8,0.03595248380129589,-0.03595248380129589
random_8,5,0,0.00493964505325279,0.00493964505325279
random_8,5,1,0.04195100765290146,-0.04195100765290146
random_8,5,2,0.001162526517484423,-0.001162526517484423
random_8,5,3,0.0032630373265058734,0.0032630373265058734
random_8,5,4,0.021675776709703765,-0.021675776709703765
random_8,5,5,0.0002602398246443317,0.0002602398246443317
random_8,5,6,0.023898271352211987,-0.023898271352211987
